step_time: 0:00:00.350493 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.27 1.59 1.38 2/585 7384

step_time: 0:00:00.395152 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.27 1.59 1.38 1/585 7406

step_time: 0:00:00.016294 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.27 1.59 1.38 3/585 7410

step_time: 0:00:00.400709 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.27 1.59 1.38 2/585 7442

step_time: 0:00:00.414728 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.27 1.59 1.38 3/585 7474

step_time: 0:00:00.536228 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.33 1.60 1.38 2/585 7512

step_time: 0:00:00.958870 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.33 1.60 1.38 1/585 7546

step_time: 0:00:00.417351 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.33 1.60 1.38 1/585 7570

step_time: 0:00:00.424026 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.33 1.60 1.38 2/585 7594

step_time: 0:00:01.592476 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.19 1.54 1.37 1/582 7620

step_time: 0:00:01.846779 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.19 1.54 1.37 1/582 7642

step_time: 0:00:00.026177 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.19 1.54 1.37 3/582 7646

step_time: 0:00:01.421128 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.34 1.57 1.38 1/582 7678

step_time: 0:00:01.452203 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.34 1.57 1.38 1/582 7710

step_time: 0:00:01.871460 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.34 1.57 1.38 1/582 7748

step_time: 0:00:01.270145 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.31 1.56 1.38 3/582 7782

step_time: 0:00:02.097450 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.31 1.56 1.38 2/582 7806

step_time: 0:00:01.474089 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.31 1.56 1.38 2/582 7830

step_time: 0:00:01.605850 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 0.92 1.83 1.51 1/572 3540

step_time: 0:00:01.539357 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 0.92 1.83 1.51 1/572 3562

step_time: 0:00:00.025182 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 0.92 1.83 1.51 1/572 3566

step_time: 0:00:01.326757 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.84 1.52 2/572 3598

step_time: 0:00:01.420675 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.84 1.52 1/572 3630

step_time: 0:00:02.474509 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.84 1.52 1/573 3669

step_time: 0:00:01.105460 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.82 1.51 1/573 3703

step_time: 0:00:01.503464 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.82 1.51 2/573 3727

step_time: 0:00:01.350696 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.01 1.82 1.51 1/573 3751

step_time: 0:00:00.342964 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3776

step_time: 0:00:00.412746 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3798

step_time: 0:00:00.015243 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3802

step_time: 0:00:00.477608 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3834

step_time: 0:00:00.414244 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 2/574 3866

step_time: 0:00:00.516735 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3904

step_time: 0:00:00.911981 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3938

step_time: 0:00:00.422457 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.73 1.66 1.47 1/574 3962

step_time: 0:00:00.503785 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.84 1.66 1.47 5/574 3986

step_time: 0:00:00.355998 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.39 1.43 1.40 1/574 4010

step_time: 0:00:00.384425 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.39 1.43 1.40 2/574 4032

step_time: 0:00:00.016140 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.39 1.43 1.40 1/574 4036

step_time: 0:00:00.384743 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.52 1.44 1.40 1/574 4068

step_time: 0:00:00.415714 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 0.52 1.44 1.40 2/574 4100

